longitude	latitude	depth	Scaled Size
77.0077	36.2981	10	0.2
96.6471	25.5222	10	0.2
81.7783	33.5237	10	0.2
81.8122	33.477	10	0.2
81.7676	33.5041	10	0.2
81.7143	33.5376	10	0.2
81.8672	33.5479	10	0.2
81.7768	33.5063	10	0.2
81.877	33.5976	10	0.2
97.6436	39.4937	10	0.2
76.7968	33.1425	9.571	0.2
90.8993	38.4599	10	0.2
70.8647	39.0066	10	0.2
88.7536	32.6024	13.465	0.2
71.1603	36.247	108.477	0.2
71.0262	36.6164	220.213	0.2
91.5562	35.9944	10	0.2
71.8016	39.3099	10	0.2
86.3532	34.1004	10	0.2
97.3348	38.5543	10	0.2
70.21	36.2706	133.299	0.2
92.8542	33.3794	10	0.2
93.0234	33.4841	10	0.2
98.1587	38.9587	10	0.2
68.4098	36.591	10	0.2
74.8029	35.4886	10	0.2
71.4614	36.2635	114.88	0.2
69.9671	36.2865	144.214	0.2
69.5411	36.4011	10	0.2
97.0732	36.9825	10	0.2
97.0602	36.9455	10	0.2
71.6036	37.3261	121.561	0.2
69.9173	36.9968	10	0.2
71.4376	36.6249	134.748	0.2
85.799	27.727	22.322	0.2
96.5235	25.0911	10	0.2
76.7782	34.7111	34.705	0.2
77.8492	39.9543	10	0.2
76.6962	33.1609	10	0.2
76.8401	33.1836	10	0.2
76.3623	36.2885	10	0.2
70.6032	36.397	152.821	0.2
97.2918	39.2538	10	0.2
95.5436	25.0005	166.34	0.2
95.4219	25.1849	10	0.2
87.7852	28.6795	74.708	0.2
71.8084	38.867	10	0.2
71.8083	38.8437	10	0.2
96.995	27.257	10	0.2
71.312	36.4517	119.705	0.2
72.2855	38.5216	25.58	0.2
68.8146	38.6641	10	0.2
69.1197	38.4876	10	0.2
82.0652	28.8564	10	0.2
75.2646	38.8	10	0.2
73.9605	37.6155	10	0.2
74.6137	37.1972	10	0.2
83.6482	36.5329	10	0.2
95.5087	26.2481	79.962	0.2
68.5074	36.6873	18.499	0.2
83.6881	36.519	10	0.2
87.4234	33.5193	12.287	0.2
97.2985	39.2853	10	0.2
88.1062	31.607	10	0.2
91.1286	33.5562	10	0.2
97.2486	39.3155	10	0.2
84.7252	27.8879	25.706	0.2
73.9128	37.7962	10	0.2
68.7405	36.0303	10	0.2
68.7756	36.0555	10	0.2
81.1801	29.5869	10	0.2
81.2055	29.5133	10	0.2
71.8269	38.8846	8.506	0.2
81.257	29.5637	10	0.2
81.2051	29.2397	10	0.2
81.2188	29.459	10	0.2
71.6977	38.7862	13.494	0.2
90.5798	25.9206	10	0.2
73.0686	37.4019	54.312	0.2
71.7603	38.8027	11.548	0.2
94.829	30.4554	10	0.2
94.8244	30.3347	34.851	0.2
70.444	36.4881	203.373	0.2
73.0729	38.0851	50.206	0.2
69.5179	34.6691	14.895	0.2
70.3356	36.4901	202.515	0.2
81.5254	34.4965	10	0.2
94.8494	30.3642	31.914	0.2
77.6881	39.7778	10	0.2
94.9315	30.2806	10	0.2
92.845	26.3499	35	0.2
94.7507	30.3522	10	0.2
70.8513	36.2782	101.283	0.2
78.602	32.5435	14.338	0.2
70.9379	36.5314	85.167	0.2
70.6689	36.431	218.046	0.2
69.8597	36.5243	46.677	0.2
72.8455	34.8611	45.949	0.2
92.0029	33.2501	10	0.2
94.8769	30.3618	10	0.2
94.8507	30.3856	10	0.2
94.7327	30.2874	10	0.2
94.8318	30.35	10	0.2
70.0961	36.5193	215.106	0.2
75.9099	33.2332	27.461	0.2
96.3583	26.5274	89.642	0.2
76.4502	38.329	19.546	0.2
71.798	37.2073	129.867	0.2
79.7754	35.6797	10	0.2
75.948	33.0446	14.274	0.2
75.9074	33.1191	10	0.2
84.756	33.039	12.384	0.2
92.4485	26.7587	10	0.2
70.4644	34.4416	55.324	0.2
71.0508	36.6064	230.416	0.2
71.173	36.37	106.164	0.2
97.023	26.8674	10	0.2
97.0318	27.3244	10	0.2
70.7311	36.4988	194.44	0.2
99.3564	25.4275	10	0.2
99.2692	25.4011	10	0.2
71.2826	37.0048	71.425	0.2
81.5483	29.6212	10	0.2
70.9766	30.3208	10	0.2
82.0503	34.5635	10	0.2
74.2213	38.0712	169.316	0.2
69.7133	39.3471	10	0.2
69.8936	36.5189	163.474	0.2
75.5388	38.2981	142.52	0.2
96.0896	30.7663	10	0.2
81.3504	34.9914	17.045	0.2
70.9383	36.5092	160.685	0.2
69.7616	37.1822	14.621	0.2
73.2404	38.0772	10	0.2
74.0804	39.4048	10	0.2
72.9453	38.3919	10	0.2
73.1456	38.1333	10	0.2
73.1208	38.2621	10	0.2
73.5144	37.9445	11.959	0.2
73.2867	38.0157	10	0.2
73.1588	38.2189	15.497	0.2
73.0657	38.1349	10	0.2
81.5737	29.6254	20.937	0.2
70.5188	37.3017	56.154	0.2
92.673	38.8964	10	0.2
72.6877	37.4442	58.958	0.2
96.9059	37.0695	10	0.2
96.9	37.0348	10	0.2
79.8867	35.7367	10	0.2
79.8502	35.7331	10	0.2
81.6638	29.5825	33.11	0.2
70.6378	38.9015	10	0.2
71.3961	35.5464	104.372	0.2
96.5576	26.705	10	0.2
71.3902	37.058	117.646	0.2
70.9078	36.5374	187.282	0.2
83.1553	28.4898	18.597	0.2
99.0266	35.5858	10	0.2
82.5664	34.4629	10	0.2
71.1267	36.7551	95.589	0.2
70.8754	38.7748	10	0.2
85.1572	34.3699	10	0.2
69.948	36.6376	41.538	0.2
74.3479	39.5681	10	0.2
72.7472	39.5212	8.684	0.2
78.0488	37.5723	10	0.2
81.1777	29.3523	10	0.2
71.1766	36.5158	83.718	0.2
94.4118	28.3835	15	0.2
81.1922	29.3448	10	0.2
71.0964	37.0086	75.937	0.2
78.5669	30.7102	22.322	0.2
92.0137	33.1963	10	0.2
86.7743	32.9696	10	0.2
96.5205	26.6099	10	0.2
77.8359	37.6318	10	0.2
77.8671	37.564	10	0.2
86.0386	27.894	23.943	0.2
92.2724	37.7231	29.683	0.2
81.8588	33.5679	10	0.2
78.2297	39.334	10	0.2
95.7811	36.9227	10	0.2
71.4559	37.0307	106.571	0.2
78.4905	37.552	10	0.2
80.1671	34.6729	10	0.2
74.9896	35.5275	10	0.2
77.7506	35.907	10	0.2
70.7074	34.5449	10	0.2
70.6462	36.6227	69.06	0.2
70.5807	34.5991	10	0.2
70.7117	34.6636	10	0.2
68.863	36.1725	35	0.2
95.2338	25.0099	91.384	0.2
69.508	33.0822	35.13	0.2
81.1968	28.0619	10	0.2
99.133	38.4773	10	0.2
93.6677	37.8597	10	0.2
71.0949	36.5038	143.445	0.2
71.3235	36.4812	98.864	0.2
86.7827	27.1316	10	0.2
70.591	36.4291	216.706	0.2
70.9833	36.5911	208.72	0.2
69.4864	33.0608	10	0.2
69.6798	34.5144	35.746	0.2
69.5091	29.0575	10	0.2
78.6539	37.4844	10	0.2
70.7633	36.4184	209.373	0.2
83.8247	28.3742	10	0.2
71.1179	36.3681	89.766	0.2
71.1541	36.5049	220.21	0.2
71.1703	36.4814	208.81	0.2
77.8975	35.9196	10	0.2
70.6659	36.4806	199.29	0.2
71.9542	37.0407	154.11	0.2
91.8806	32.2082	10	0.2
70.2878	36.1297	109.66	0.2
71.1286	36.9172	77.39	0.2
76.2415	32.7165	10	0.2
80.4219	29.9682	33.06	0.2
71.7198	37.4966	108.39	0.2
70.5883	38.9236	10	0.2
97.3084	38.5167	15.04	0.2
70.5607	33.2832	41.19	0.2
70.9955	36.577	202.7	0.2
71.5177	39.2435	10	0.2
97.2553	38.5665	10	0.2
97.3511	38.6058	10	0.2
97.3056	38.5795	10	0.2
77.9099	35.9998	10	0.2
97.586	38.944	10	0.2
74.9251	35.5965	10	0.2
71.9394	37.4076	135.11	0.2
81.891	33.636	10	0.2
70.573	36.1554	86.62	0.2
69.7845	35.5378	91.19	0.2
95.7805	35.8038	10	0.2
98.9663	34.574	10	0.2
90.4969	38.8385	10	0.2
70.5963	35.4588	83.92	0.2
96.4951	26.0883	10	0.2
70.4391	36.5399	205.03	0.2
95.0293	33.3086	10	0.2
69.1575	36.0702	10	0.2
94.1513	29.2819	10	0.2
93.8695	25.2468	10	0.2
71.4945	36.5418	106.99	0.2
