longitude	latitude	depth	Scaled Size
73.2287	38.0552	9	0.45
98.2513	34.5983	10	0.45
73.9776	39.2732	17	0.45
71.1311	36.4725	212	0.45
72.7797	38.2107	22	0.45
70.3676	36.5244	231	0.45
86.0655	27.8087	15	0.45
86.0173	27.7711	22.91	0.45
84.8216	28.2244	10	0.45
84.7314	28.2305	8.22	0.45
82.5864	35.9053	10	0.45
88.155	27.73	50	0.45
96.548	33.165	17	0.45
70.743	36.419	204.8	0.45
73.824	39.533	27.4	0.45
83.52	30.901	12	0.45
81.467	35.49	10	0.45
73.588	34.539	26	0.45
71.029	36.512	187.1	0.45
70.482	36.502	225.6	0.45
90.541	35.946	10	0.45
79.403	30.512	15	0.45
70.11	37.106	33	0.45
87.325	35.069	33	0.45
68.208	29.976	33	0.45
78.133	35.345	33	0.45
70.868	36.379	214.5	0.45
78.774	30.78	10.3	0.45
71.119	36.334	212.9	0.45
70.423	35.993	142.4	0.45
